Sample_ID	Drop_Reason
1	iro_register
2	length
3	not_assertion
4	not_assertion
5	not_assertion
6	not_assertion
7	governance_role
8	navigation
9	length
10	not_assertion
11	not_assertion
12	not_assertion
13	not_assertion
14	not_assertion
15	not_assertion
16	not_assertion
17	not_assertion
18	length
19	not_assertion
20	not_assertion
21	methodology
22	governance_role
23	not_assertion
24	navigation
25	not_assertion
26	not_assertion
27	navigation
28	not_assertion
29	not_assertion
30	not_assertion
31	not_assertion
32	not_assertion
33	not_assertion
34	length
35	not_assertion
36	not_assertion
37	not_assertion
38	not_assertion
39	not_assertion
40	not_assertion
41	not_assertion
42	reference_dense
43	not_assertion
44	not_assertion
45	governance_role
46	not_assertion
47	not_assertion
48	not_assertion
49	not_assertion
50	not_assertion
51	policy_content
52	not_assertion
53	not_assertion
54	not_assertion
55	iro_register
56	not_assertion
57	not_assertion
58	not_assertion
59	not_assertion
60	not_assertion
61	not_assertion
62	not_assertion
63	not_assertion
64	length
65	not_assertion
66	length
67	not_assertion
68	reference_dense
69	not_assertion
70	not_assertion
71	not_assertion
72	not_assertion
73	not_assertion
74	not_assertion
75	not_assertion
76	not_assertion
77	not_assertion
78	not_assertion
79	length
80	not_assertion
81	not_assertion
82	not_assertion
83	not_assertion
84	iro_register
85	not_assertion
86	not_assertion
87	not_assertion
88	not_assertion
89	not_assertion
90	not_assertion
91	not_assertion
92	not_assertion
93	not_assertion
94	not_assertion
95	not_assertion
96	not_assertion
97	not_assertion
98	length
99	length
100	not_assertion
